project_owner,project_name,p_of_chi_test,residual_1_1,residual_1_2,residual_2_1,residual_2_2,odds_ratio,p_of_odds_ratio
sampsyo,beets,0.000150645587975942,-0.871062453832273,3.1251716732627,0.586339545109986,-2.10365138484583,0.423253766597968,0.000169731440702092
gitlabhq,gitlabhq,5.68793129839005e-08,-2.80079619604216,3.06342719564163,2.38848217785028,-2.61245044186777,0.746386762285084,4.97649753627982e-08
twitter,commons,0.483331084915798,-0.661941775175836,0.234483122491948,0.440611292164854,-0.156080059404895,0.782934500871689,0.406172161634842
Shopify,liquid,0.95972884617295,-0.057820119119772,0.10165344422499,0.0458760457686092,-0.0806545910108292,0.970343187059179,0.879022973397273
toastdriven,django-tastypie,0.273693454180782,0.431066363894983,-0.563514410169037,-0.576314870200769,0.75339149920765,1.23552029168268,0.238388970399801
cucumber,gherkin,0.000809112304508183,-1.58173212566539,2.25916535371327,1.20124561201579,-1.71572191266238,0.463484508412082,0.000628770974517301
pry,pry,6.35474259191028e-05,-1.74610456467356,3.11003418248867,0.961802723234603,-1.71309290782912,0.573865477024826,6.99709658343872e-05
sunspot,sunspot,7.20805711224249e-06,-2.12814132689687,2.60643017571343,1.96418550329597,-2.40562612162344,0.429649614516303,4.91372069266749e-06
datamapper,do,0.702895703989473,-0.431985481441997,0.441694232579276,0.185407104930909,-0.189574077012584,0.681714173836687,0.519432992299773
RubyMoney,money,0.0174225470158501,-0.682681119891991,1.90866051142909,0.504807318468257,-1.4113555605481,0.503939796269594,0.0140127539918052
matplotlib,matplotlib,0.00895615992676376,-1.06663686096107,1.04977710145348,1.55979423124859,-1.53513939642833,0.819347676877652,0.00805766707910183
codeforamerica,brigade,4.22989866218954e-05,1.60435610541743,-3.1751122041924,-1.0092138603353,1.99729176943358,2.97102055254362,1.08786743167055e-05
racker,rackspace-monitoring,0.900784318796158,-0.108007071319433,0.283196930161915,0.0709745507598931,-0.186096842079694,0.838559269766239,0.710517410250138
tangentlabs,django-oscar,0.258990329089787,-0.480030051073517,0.855872470645244,0.317149841236652,-0.565464219535677,0.895474410498619,0.240530952311288
spree,spree,0.000409974057008869,-2.75811564188794,1.8663674728934,1.09645043423011,-0.741948377728703,0.683608549583662,0.00027144826444303
sympy,sympy,1.70785388366128e-80,-4.46647742007111,5.81987616891255,10.695331305708,-13.9361510045926,0.130753088918741,0
mongodb,mongo-java-driver,0.421416318220151,0.338459909876383,-0.81695044870045,-0.143776211189805,0.347036788749551,1.37190094933037,0.343555624712441
intridea,omniauth,0.0128597075562211,1.68357959093011,-1.9271985124193,-0.503474453610808,0.576328688745756,3.01523693195642,0.00678079424826783
pivotal,projectmonitor,1.96994395934227e-07,-2.34982733615055,4.66437526434957,0.632082654524277,-1.25467546207768,0.186761712157257,1.60015162498084e-06
mbleigh,acts-as-taggable-on,0.999999999999999,-0.00979794969497115,0.0181277346181549,0.00976959088094835,-0.0180752663905466,0.992562898935844,0.976937910315882
travis-ci,travis-cookbooks,1,0.0503635242355735,-0.17142997129335,-0.0296616560103668,0.100963880418415,1.08223212656349,0.861597391144325
rtfd,readthedocs.org,0.887427490274043,-0.0942592330457062,0.205119090704035,0.0469970434992674,-0.102271050982067,0.943487234038389,0.791845919676396
rails,strong_parameters,0.999999999999999,0.0637149499916124,-0.0510856099894398,-0.107248242014631,0.0859898950612638,1.05762820866786,0.879944412398425
svenfuchs,rails-i18n,4.36250638976892e-05,-1.1232577210354,2.93789535160631,1.02049483179993,-2.66911766243608,0.233365940812819,2.26921038969374e-05
plataformatec,devise,0.000775216333303743,-1.43659989729944,2.52939512952294,0.906000666467159,-1.59517878110283,0.600871088824711,0.000727951813884298
collective,collective.developermanual,0.32478460406017,-0.64576588223646,0.887520313960367,0.178828321607468,-0.245776019613172,0.711921162180391,0.261477166415784
gregbell,active_admin,2.32250158505479e-13,-2.47910792609829,4.09548491868654,2.90531883504822,-4.79958510384118,0.488051243810085,8.5265128291212e-14
sferik,rails_admin,0.480780404539691,-0.460596385038783,0.488214669193982,0.26041563698885,-0.276030681514677,0.903392121812262,0.441544647880611
thoughtbot,suspenders,0.475543559428759,0.390636830104652,-0.509551649073117,-0.284563685866867,0.371188490754805,1.13720907309907,0.428997421845596
caelum,vraptor,0.00779319234272233,-0.672551655500185,1.92980530227846,0.655765188231454,-1.88163857296214,0.311495141344092,0.00453980663261744
kevinweil,elephant-bird,0.470741203159141,-0.318828094920085,0.430841283831668,0.412168757854811,-0.556975121135362,0.762534802129521,0.387298561832583
caktus,django-timepiece,0.0239061816275617,0.74994000719904,-1.90863381710669,-0.481375717126856,1.22512462813369,2.85586947861758,0.0117407167648604
plataformatec,simple_form,0.0913853579977841,0.574289423354136,-1.43351305121076,-0.344635201508555,0.860261462563124,1.5477407807881,0.0683849200895899
guard,guard,0.898596084401683,0.110255528442056,-0.148126365897056,-0.0567767454636753,0.0762785602847728,1.03319008970264,0.839341516646458
crowdint,rails3-jquery-autocomplete,0.495843795325594,-0.243132269541932,0.595550000382558,0.270089481963806,-0.661581415703966,0.582130324253543,0.355763709775719
basho,riak-python-client,0.516832777522569,-0.433790986852589,0.378126754514075,0.363044945931128,-0.316458873762458,0.858129053542874,0.455632104137161
thoughtbot,shoulda-matchers,0.000381841561634841,1.59887578236002,-2.14338911897927,-1.4535692902603,1.94859702973775,1.56779316251479,0.000296620010005633
isenseDev,rSENSE,0.000164126111361285,-0.828903416253983,2.45291125611166,0.921368575209964,-2.72653641527227,0.425310085286288,8.51846044247484e-05
fatfreecrm,fat_free_crm,0.847505851592504,0.216752892842772,-0.200113427771416,-0.0590186933950695,0.0544880065173784,1.07198723721814,0.759695839940363
adhearsion,adhearsion,0.0043534843367638,2.2288965192325,-1.57000368906946,-0.917016102118063,0.645933380414272,1.71968228669481,0.00386629301076935
rubygems,rubygems,2.03040308445314e-09,-3.07019117540588,4.49784218416115,1.5068418952814,-2.20752932121955,0.445283184102144,3.25441329440679e-09
pypa,virtualenv,0.00108104183201767,-0.858901803451898,2.47187830948576,0.726195982982224,-2.08995730542785,0.341107683615737,0.000762633326632067
mne-tools,mne-python,2.44016066131078e-15,-2.00485898730816,3.86798677502875,3.08998871974366,-5.96153424186903,0.127487363505856,0
thoughtbot,paperclip,0.96639534146115,-0.0662622139954904,0.0740834074167772,0.0423542930898954,-0.0473535392439779,0.982134250798731,0.905466483113543
projectblacklight,blacklight,0.00247165667917174,-1.30252258043036,2.12573183120154,0.9593767370326,-1.56571386835431,0.656466903730383,0.0021596486495743
jruby,activerecord-jdbc-adapter,0.501340211093911,0.462788882045248,-0.430413291795045,-0.326686039886169,0.303831875107893,1.16890024179039,0.441358242615606
